# See https://github.com/wiseman/node-sbs1#parsed-messages

MSG,7,111,11111,7C6DBB,111111,2018/10/26,19:17:38.078,2018/10/26,19:17:38.117,,19375,,,,,,,,,,0
MSG,8,111,11111,7C52FC,111111,2018/10/26,19:17:38.090,2018/10/26,19:17:38.118,,,,,,,,,,,,0
MSG,6,111,11111,7C5C9D,111111,2018/10/26,19:17:38.103,2018/10/26,19:17:38.120,,,,,,,,1062,0,0,0,0
MSG,7,111,11111,7C1C54,111111,2018/10/26,19:17:38.106,2018/10/26,19:17:38.120,,3700,,,,,,,,,,0
MSG,6,111,11111,7C801E,111111,2018/10/26,19:17:38.113,2018/10/26,19:17:38.178,,,,,,,,1264,0,0,0,0
MSG,8,111,11111,8960F0,111111,2018/10/26,19:17:38.117,2018/10/26,19:17:38.179,,,,,,,,,,,,0
MSG,5,111,11111,7C4878,111111,2018/10/26,19:17:38.149,2018/10/26,19:17:38.183,,3000,,,,,,,0,,0,0
MSG,7,111,11111,7C4878,111111,2018/10/26,19:17:38.151,2018/10/26,19:17:38.183,,3000,,,,,,,,,,0
MSG,7,111,11111,8960F0,111111,2018/10/26,19:17:38.175,2018/10/26,19:17:38.186,,7425,,,,,,,,,,0
MSG,3,111,11111,7C1C54,111111,2018/10/26,19:17:38.175,2018/10/26,19:17:38.187,,3700,,,-33.78040,151.01039,,,,,,0
MSG,8,111,11111,7C1C54,111111,2018/10/26,19:17:38.184,2018/10/26,19:17:38.244,,,,,,,,,,,,0
MSG,7,111,11111,7C52FC,111111,2018/10/26,19:17:38.184,2018/10/26,19:17:38.245,,8675,,,,,,,,,,0
MSG,6,111,11111,7C77FC,111111,2018/10/26,19:17:38.189,2018/10/26,19:17:38.245,,,,,,,,4205,0,0,0,0
MSG,6,111,11111,7C6DBB,111111,2018/10/26,19:17:38.191,2018/10/26,19:17:38.246,,,,,,,,1425,0,0,0,0
MSG,6,111,11111,8960F0,111111,2018/10/26,19:17:38.191,2018/10/26,19:17:38.246,,,,,,,,216,0,0,0,0
MSG,7,111,11111,7C801E,111111,2018/10/26,19:17:38.192,2018/10/26,19:17:38.246,,8950,,,,,,,,,,0
MSG,3,111,11111,7C4878,111111,2018/10/26,19:17:38.217,2018/10/26,19:17:38.249,,3000,,,-33.76291,151.12524,,,,,,0
MSG,4,111,11111,7C7C9B,111111,2018/10/26,19:17:38.222,2018/10/26,19:17:38.250,,,315,170,,,-1088,,,,,0
MSG,8,111,11111,7C4878,111111,2018/10/26,19:17:38.249,2018/10/26,19:17:38.310,,,,,,,,,,,,0
MSG,8,111,11111,7CF7CA,111111,2018/10/26,19:17:38.268,2018/10/26,19:17:38.312,,0,,,,,,,,,,-1
MSG,6,111,11111,7C444B,111111,2018/10/26,19:17:38.291,2018/10/26,19:17:38.315,,,,,,,,1561,0,0,0,0
MSG,7,111,11111,7C5C9D,111111,2018/10/26,19:17:38.292,2018/10/26,19:17:38.315,,2200,,,,,,,,,,0
MSG,8,111,11111,7C444B,111111,2018/10/26,19:17:38.300,2018/10/26,19:17:38.317,,,,,,,,,,,,0
MSG,7,111,11111,7C1C54,111111,2018/10/26,19:17:38.304,2018/10/26,19:17:38.317,,3700,,,,,,,,,,0
MSG,5,111,11111,7C77FC,111111,2018/10/26,19:17:38.308,2018/10/26,19:17:38.375,,26650,,,,,,,0,,0,0
MSG,3,111,11111,7C6DBB,111111,2018/10/26,19:17:38.308,2018/10/26,19:17:38.375,,19375,,,-33.80535,151.61860,,,,,,0
MSG,7,111,11111,7C52FC,111111,2018/10/26,19:17:38.310,2018/10/26,19:17:38.375,,8675,,,,,,,,,,0
MSG,7,111,11111,7C1C54,111111,2018/10/26,19:17:38.310,2018/10/26,19:17:38.376,,3700,,,,,,,,,,0
MSG,4,111,11111,7C6DBB,111111,2018/10/26,19:17:38.313,2018/10/26,19:17:38.376,,,433,16,,,2304,,,,,0
MSG,7,111,11111,7C1C54,111111,2018/10/26,19:17:38.330,2018/10/26,19:17:38.378,,3700,,,,,,,,,,0
MSG,4,111,11111,7C444B,111111,2018/10/26,19:17:38.363,2018/10/26,19:17:38.382,,,218,11,,,640,,,,,0
MSG,3,111,11111,7C52FC,111111,2018/10/26,19:17:38.370,2018/10/26,19:17:38.383,,8675,,,-33.77947,151.45947,,,,,,0
MSG,7,111,11111,7C6DBB,111111,2018/10/26,19:17:38.379,2018/10/26,19:17:38.441,,19375,,,,,,,,,,0
MSG,8,111,11111,7C6DBB,111111,2018/10/26,19:17:38.384,2018/10/26,19:17:38.442,,,,,,,,,,,,0
MSG,8,111,11111,7C7A43,111111,2018/10/26,19:17:38.386,2018/10/26,19:17:38.442,,,,,,,,,,,,0
MSG,3,111,11111,7C444B,111111,2018/10/26,19:17:38.387,2018/10/26,19:17:38.442,,11075,,,-33.58614,151.40923,,,,,,0
MSG,7,111,11111,7C7C9B,111111,2018/10/26,19:17:38.404,2018/10/26,19:17:38.445,,10250,,,,,,,,,,0
MSG,3,111,11111,7C801E,111111,2018/10/26,19:17:38.431,2018/10/26,19:17:38.448,,8950,,,-33.42483,151.56441,,,,,,0
